trade_id,pair,is_short,close_profit,close_profit_abs,stake_amount,open_date,close_date,exit_reason,strategy,trade_date,close_price,ema200,ema200_block,ema200_direction,crisis_block
629,SOL/USDT:USDT,False,-0.0082300577176697,-9.7508769,1184.1963,2026-04-15 17:30:10.826529+00:00,2026-04-15 18:05:13.187000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,True,block_longs_below,False
630,BNB/USDT:USDT,False,0.0035288803316284,4.1777793,1183.29075,2026-04-15 17:40:08.688833+00:00,2026-04-15 18:10:12.097000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,601.81,764.327327713103,True,block_longs_below,False
631,ETH/USDT:USDT,False,0.0142736904373233,16.8990306,1183.33695,2026-04-15 19:05:03.377089+00:00,2026-04-15 19:35:07.921000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
632,BTC/USDT:USDT,False,0.020141236687092,23.62701285,1172.4804,2026-04-15 19:05:07.995992+00:00,2026-04-15 19:35:09.009000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
633,XRP/USDT:USDT,False,0.0417643382242431,49.4530954,1183.50687,2026-04-15 19:30:03.356012+00:00,2026-04-15 19:36:27.328000+00:00,trailing_stop_loss,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,1.3259,1.854389993213925,True,block_longs_below,False
634,BTC/USDT:USDT,False,-0.0282392938611034,-33.9354688,1201.1104,2026-04-15 19:40:07.852224+00:00,2026-04-15 20:15:11.374000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
635,ETH/USDT:USDT,False,-0.0291264923982154,-34.99744326,1200.9669,2026-04-15 19:40:09.251833+00:00,2026-04-15 20:15:12.466000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
636,SOL/USDT:USDT,False,-0.030644247366256,-36.82851095,1201.2077,2026-04-15 19:40:10.682045+00:00,2026-04-15 20:15:13.591000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,True,block_longs_below,False
637,BNB/USDT:USDT,False,-0.0257393122345887,-30.9084447,1200.22625,2026-04-15 19:40:12.107987+00:00,2026-04-15 20:15:14.698000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,601.81,764.327327713103,True,block_longs_below,False
638,XRP/USDT:USDT,False,-0.0379034725020112,-45.55796926,1201.3464375,2026-04-15 19:40:13.505039+00:00,2026-04-15 20:15:15.775000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,1.3259,1.854389993213925,True,block_longs_below,False
639,BTC/USDT:USDT,True,0.0035284809315394,4.09489385,1161.10655,2026-04-15 23:00:08.765054+00:00,2026-04-15 23:30:12.625000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
640,BTC/USDT:USDT,True,-0.0087241672771358,-10.06566745,1154.34545,2026-04-16 00:25:07.617427+00:00,2026-04-16 01:00:09.087000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
641,BTC/USDT:USDT,True,-0.0039746851676648,-4.59082875,1155.59475,2026-04-16 01:10:07.617392+00:00,2026-04-16 01:45:12.516000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
642,ETH/USDT:USDT,False,0.0001345268477658,0.15647769,1162.5894225,2026-04-16 02:35:07.603026+00:00,2026-04-16 03:07:36.970000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
643,BTC/USDT:USDT,False,-0.0125733748208179,-14.4282934,1146.954025,2026-04-16 02:45:08.944206+00:00,2026-04-16 03:20:12.005000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
644,BTC/USDT:USDT,True,-0.0066155076833311,-7.427061,1123.236,2026-04-16 04:10:07.806940+00:00,2026-04-16 04:45:11.983000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
645,ETH/USDT:USDT,True,-0.0035840136622322,-4.15003155,1158.50775,2026-04-16 04:50:07.644586+00:00,2026-04-16 05:25:11.942000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,False,block_shorts_above,False
646,XRP/USDT:USDT,True,-0.0014306298448369,-1.65707304,1158.8616,2026-04-16 04:50:08.870110+00:00,2026-04-16 05:25:12.891000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,1.3259,1.854389993213925,False,block_shorts_above,False
647,BTC/USDT:USDT,False,-0.0077736821513707,-8.90000675,1144.3173,2026-04-16 06:00:08.215733+00:00,2026-04-16 06:35:12.711000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
648,ETH/USDT:USDT,True,-0.0047174272685325,-5.44774004,1155.38936,2026-04-16 07:55:07.749034+00:00,2026-04-16 08:30:12.005000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,False,block_shorts_above,False
649,ETH/USDT:USDT,False,0.000437054429018,0.50475339,1154.3210775,2026-04-16 08:45:07.799665+00:00,2026-04-16 09:16:17.002000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
650,XRP/USDT:USDT,False,0.0010784360096047,1.24620132,1154.986035,2026-04-16 09:20:07.851200+00:00,2026-04-16 09:51:02.017000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,1.3259,1.854389993213925,True,block_longs_below,False
651,ETH/USDT:USDT,True,-0.0064537311614342,-7.45148736,1155.17904,2026-04-16 10:05:07.788886+00:00,2026-04-16 10:40:08.545000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,False,block_shorts_above,False
652,BTC/USDT:USDT,True,6.31147818713616e-05,0.0728345,1154.57795,2026-04-16 10:10:07.964008+00:00,2026-04-16 10:40:09.515000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
653,SOL/USDT:USDT,True,-0.0124083781020945,-14.3234294,1154.9128,2026-04-16 10:20:08.227210+00:00,2026-04-16 10:55:12.391000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,False,block_shorts_above,False
654,BTC/USDT:USDT,True,-0.0028882365711157,-3.32176005,1150.67505,2026-04-16 10:50:08.179974+00:00,2026-04-16 11:25:12.372000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
